,TEAM,DRAW,LOST,WON
230,Saint Kitts and Nevis,34,74,71
231,Saint Lucia,30,103,66
232,Saint Martin,3,27,14
233,Saint Pierre and Miquelon,0,7,0
234,Saint Vincent and the Grenadines,39,43,64
235,Samoa,4,31,16
236,San Marino,4,160,1
237,Sark,0,4,0
238,Saudi Arabia,141,184,298
239,Scotland,167,245,371
240,Senegal,142,154,233
241,Serbia,70,83,124
242,Seychelles,18,82,13
243,Shetland,7,26,18
244,Sierra Leone,62,113,78
245,Silesia,2,3,3
246,Singapore,108,279,169
247,Sint Maarten,5,19,10
248,Slovakia,69,105,119
249,Slovenia,61,102,86
250,Solomon Islands,30,68,72
251,Somalia,12,85,10
252,Somaliland,0,3,2
253,South Africa,114,111,175
254,South Korea,222,186,454
255,South Ossetia,3,7,4
256,South Sudan,8,27,8
257,Spain,159,130,407
258,Sri Lanka,35,126,40
259,Sudan,99,165,133
260,Suriname,81,114,153
261,Surrey,0,0,1
262,Sweden,225,296,499
263,Switzerland,174,345,280
264,Syria,101,153,150
265,Székely Land,3,14,6
266,Sápmi,2,13,11
267,São Tomé and Príncipe,5,33,8
268,Tahiti,28,73,109
269,Tajikistan,26,61,57
270,Tamil Eelam,0,11,6
271,Tanzania,154,230,147
272,Thailand,148,254,237
273,Tibet,1,12,0
274,Timor-Leste,1,7,1
275,Togo,100,167,119
276,Tonga,6,36,14
277,Trinidad and Tobago,138,237,290
278,Tunisia,168,170,243
279,Turkey,138,211,220
280,Turkmenistan,23,63,52
281,Turks and Caicos Islands,2,19,6
282,Tuvalu,4,25,5
283,Two Sicilies,0,3,1
284,U.S. Virgin Islands,6,41,7
285,Uganda,168,190,266
286,Ukraine,75,70,124
287,United Arab Emirates,129,184,208
288,United Koreans in Japan,6,3,2
289,United States,144,246,294
290,Uruguay,216,286,382
291,Uzbekistan,58,97,120
292,Vanuatu,22,96,56
293,Vatican City,2,4,0
294,Venezuela,86,203,92
295,Vietnam,47,73,82
296,Vietnam Republic,27,60,66
297,Wales,141,307,210
298,Wallis Islands and Futuna,0,19,5
299,Western Armenia,4,7,5
300,Western Australia,3,17,9
301,Western Isles,3,14,11
302,Western Sahara,0,3,2
303,Yemen,43,139,44
304,Yemen DPR,3,16,5
305,Ynys Môn,11,18,32
306,Yorkshire,1,1,5
307,Yugoslavia,98,159,223
308,Zambia,190,201,327
309,Zanzibar,41,123,41
310,Zimbabwe,125,142,189
311,Åland Islands,6,19,21
